2, 10314000
4, 6119000
8, 13019000
16, 3686000
32, 2972000
64, 2934000
128, 2630000
256, 2395000
512, 10417000
1024, 2860000
2048, 2997000
4096, 4397000
8192, 4024000
16384, 2542000
32768, 2412000
65536, 2416000
131072, 2829000
262144, 5496000
524288, 5008000
1048576, 6026000
